Слово,Транскрипция
Ааргау,aərɡəʊ
Аарон,ɐɐron
Ааронов,ɐɐronəf
Ааронович,ɐɐronəvʲɪt͡ɕ
Аахен,aəxʲɪn
Аедоницкий,ɐɪ̯ɪdɐnʲit͡skʲɪɪ̯
Ажгибесов,ɐʐɡʲɪbʲesəf
Аза,azə
Азавад,ɐzɐvat
Азалия,ɐzalʲɪɪ̯ə
Азанчевский,ɐzɐnʲt͡ɕefskʲɪɪ̯
Азарин,ɐzarʲɪn
Азаров,ɐzarəf
Азарьев,ɐzarʲɪ̯ɪf
Азербайджан,ɐzʲɪrbɐɪ̯d͡ʐʐan
Азеф,ɐzʲef
Азизов,ɐzʲizəf
Азимов,ɐzʲiməf
Азия,azʲɪɪ̯ə
Азов,ɐzof
Азорские,ɐzorskʲɪɪ̯
Азямов,ɐzʲaməf
Азёрников,ɐzʲɵrnʲɪkəf
Аид,ɐit
Аида,ɐidə
Айболит,ɐɪ̯bɐlʲit
Айвазов,ɐɪ̯vazəf
Айвазовский,ɐɪ̯vɐzofskʲɪɪ̯
Айова,ɐjɵvə
Айсин,aɪ̯sʲɪn
Аушев,aʊʂɨf
Афанас,ɐfɐnas
Афанасенко,ɐfɐnasʲɪnkə
Афанасий,ɐfɐnasʲɪɪ̯
Афанасия,ɐfɐnasʲɪɪ̯ə
Афанасов,ɐfɐnasəf
Афанасьев,ɐfɐnasʲɪ̯ɪf
Афанасьевич,ɐfɐnasʲɪ̯ɪvʲɪt͡ɕ
Афган,ɐvɡan
Афганистан,ɐvɡənʲɪstan
Афина,ɐfʲinə
Афины,ɐfʲinɨ
Африка,afrʲɪkə
Африканов,ɐfrʲɪkanəf
Африканский,ɐfrʲɪkanskʲɪɪ̯
Африкантов,ɐfrʲɪkantəf
Афродита,ɐfrɐdʲitə
Афросимов,ɐfrɐsʲiməf
Ахеронт,ɐxʲɪront
Ахилл,ɐxʲiɫ
Ахиллес,ɐxʲɪlʲes
Ахмад,ɐxmat
Ахмадулин,ɐxmɐdulʲɪn
Ахмед,ɐxmʲet
Ахмедов,ɐxmʲedəf
Ахметов,ɐxmʲetəf
Ахметшин,ɐxmʲet͡ʂʂɨn
Ахрамеев,ɐxrɐmʲeɪ̯ɪf
Ахраменко,ɐxrɐmʲenkə
Ахременко,ɐxrʲɪmʲenkə
Ахромеев,ɐxrɐmʲeɪ̯ɪf
Ахунов,ɐxunəf
Ашман,ɐʂman
Ашхабад,ɐʂxɐbat
Аюдаг,ɐɪ̯ʊdak
Аюрведа,ɐɪ̯ʊrvʲedə
Ая,aɪ̯ə
Аязгулов,ɐɪ̯ɪzɡuɫəf
Аякс,ɐjaks
Аяксы,ɐjaks
Аякучо,ɐjakut͡ɕɵ
Аян,ɐjan
Аяцков,ɐjat͡skəf
аангич,ɐɐnɡʲit͡ɕ
ааронов,ɐɐronəf
аароновец,ɐɐronəvʲɪt͡s
аароновский,ɐɐronəfskʲɪɪ̯
аароновцы,ɐɐronəvʲɪt͡s
аароновщина,ɐɐronəfɕːɪnə
аахенец,aəxʲɪnʲɪt͡s
аахенский,ɐaxʲɪnskʲɪɪ̯
абонентский,ɐbɐnʲentskʲɪɪ̯
аевит,ɐɪ̯ɪvʲit
аж,aʂ
ажан,ɐʐan
ажгон,ɐʐɡon
ажио,aʐɨo
ажиотаж,ɐʐɨɐtaʂ
ажиотажный,ɐʐɨɐtaʐnɨɪ̯
ажиотировать,ɐʐɨɐtʲirəvətʲ
